Year,Data Source,NPDES Permit Number,FRS ID,Facility Name,City,County,State,HUC 12 Code,Watershed Name,SIC Code,Facility Latitude,Facility Longitude,Pollutant Name,Substance Registry System ID,CAS Number,Average Daily Flow (MGD),Major/Non-Major Status,Contains Potential Outliers?,Total Pounds (lb/yr),Total TWPE (lb-eq/yr),Link to DFR
2018,ICIS,MI0037451,1.1E+11,HILLSHIRE BRANDS - ZEELAND,ZEELAND,OTTAWA,MI,40500020302,Headwaters Pigeon River,2013,42.918611,-86.028611,"Solids, total dissolved",,,0.849166667,Major,,4416592.57,0,https://echo.epa.gov/detailed-facility-report?fid=MI0037451&sys=ICP
2018,ICIS,MI0037451,1.1E+11,HILLSHIRE BRANDS - ZEELAND,ZEELAND,OTTAWA,MI,40500020302,Headwaters Pigeon River,2013,42.918611,-86.028611,Chloride,205955,16887006,0.849166667,Major,,2359209.804,57.44163002,https://echo.epa.gov/detailed-facility-report?fid=MI0037451&sys=ICP
2018,ICIS,WI0023094,1.10017E+11,"HILLSHIRE BRANDS, NEW LONDON PLANT",NEW LONDON,OUTAGAMIE,WI,40302021404,Black Otter Lake-Wolf River,2011,44.372922,-88.734057,Chloride,205955,16887006,0.546833333,Non-Major,,1761941.612,42.89944795,https://echo.epa.gov/detailed-facility-report?fid=WI0023094&sys=ICP
2018,ICIS,MI0037451,1.1E+11,HILLSHIRE BRANDS - ZEELAND,ZEELAND,OTTAWA,MI,40500020302,Headwaters Pigeon River,2013,42.918611,-86.028611,Sodium,149856,7440235,0.849166667,Major,,1544285.979,8.478432826,https://echo.epa.gov/detailed-facility-report?fid=MI0037451&sys=ICP
2018,ICIS,MI0037451,1.1E+11,HILLSHIRE BRANDS - ZEELAND,ZEELAND,OTTAWA,MI,40500020302,Headwaters Pigeon River,2013,42.918611,-86.028611,Fluoride,206706,16984488,0.849166667,Major,,23428.5,702.855,https://echo.epa.gov/detailed-facility-report?fid=MI0037451&sys=ICP
2018,ICIS,MI0037451,1.1E+11,HILLSHIRE BRANDS - ZEELAND,ZEELAND,OTTAWA,MI,40500020302,Headwaters Pigeon River,2013,42.918611,-86.028611,"Solids, total suspended",,,0.849166667,Major,,14480,0,https://echo.epa.gov/detailed-facility-report?fid=MI0037451&sys=ICP
2018,ICIS,WI0023094,1.10017E+11,"HILLSHIRE BRANDS, NEW LONDON PLANT",NEW LONDON,OUTAGAMIE,WI,40302021404,Black Otter Lake-Wolf River,2011,44.372922,-88.734057,"Solids, total suspended",,,0.546833333,Non-Major,,13016.1744,0,https://echo.epa.gov/detailed-facility-report?fid=WI0023094&sys=ICP
2018,ICIS,MI0037451,1.1E+11,HILLSHIRE BRANDS - ZEELAND,ZEELAND,OTTAWA,MI,40500020302,Headwaters Pigeon River,2013,42.918611,-86.028611,Nitrogen,153122,7727379,0.849166667,Major,,8948,0,https://echo.epa.gov/detailed-facility-report?fid=MI0037451&sys=ICP
2018,ICIS,WI0023094,1.10017E+11,"HILLSHIRE BRANDS, NEW LONDON PLANT",NEW LONDON,OUTAGAMIE,WI,40302021404,Black Otter Lake-Wolf River,2011,44.372922,-88.734057,"BOD, 5-day, 20 deg. C",,,0.546833333,Non-Major,,8829.6046,0,https://echo.epa.gov/detailed-facility-report?fid=WI0023094&sys=ICP
2018,ICIS,WI0023094,1.10017E+11,"HILLSHIRE BRANDS, NEW LONDON PLANT",NEW LONDON,OUTAGAMIE,WI,40302021404,Black Otter Lake-Wolf River,2011,44.372922,-88.734057,Nitrogen,153122,7727379,0.546833333,Non-Major,,8383.732708,0,https://echo.epa.gov/detailed-facility-report?fid=WI0023094&sys=ICP
2018,ICIS,MI0037451,1.1E+11,HILLSHIRE BRANDS - ZEELAND,ZEELAND,OTTAWA,MI,40500020302,Headwaters Pigeon River,2013,42.918611,-86.028611,"BOD, carbonaceous, 05 day, 20 C",,,0.849166667,Major,,7743,0,https://echo.epa.gov/detailed-facility-report?fid=MI0037451&sys=ICP
2018,ICIS,MI0037451,1.1E+11,HILLSHIRE BRANDS - ZEELAND,ZEELAND,OTTAWA,MI,40500020302,Headwaters Pigeon River,2013,42.918611,-86.028611,Total Residual Chlorine,154328,7782505,0.849166667,Major,Y,1137.832608,568.9163039,https://echo.epa.gov/detailed-facility-report?fid=MI0037451&sys=ICP
2018,ICIS,MI0037451,1.1E+11,HILLSHIRE BRANDS - ZEELAND,ZEELAND,OTTAWA,MI,40500020302,Headwaters Pigeon River,2013,42.918611,-86.028611,Phosphorus,153049,7723140,0.849166667,Major,,988.8,0,https://echo.epa.gov/detailed-facility-report?fid=MI0037451&sys=ICP
2018,ICIS,WI0023094,1.10017E+11,"HILLSHIRE BRANDS, NEW LONDON PLANT",NEW LONDON,OUTAGAMIE,WI,40302021404,Black Otter Lake-Wolf River,2011,44.372922,-88.734057,Phosphorus,153049,7723140,0.546833333,Non-Major,,699.4586673,0,https://echo.epa.gov/detailed-facility-report?fid=WI0023094&sys=ICP
2018,ICIS,WI0023094,1.10017E+11,"HILLSHIRE BRANDS, NEW LONDON PLANT",NEW LONDON,OUTAGAMIE,WI,40302021404,Black Otter Lake-Wolf River,2011,44.372922,-88.734057,Ammonia as N,152389,7664417,0.546833333,Non-Major,,399.9318954,0.443924404,https://echo.epa.gov/detailed-facility-report?fid=WI0023094&sys=ICP
2018,ICIS,MI0037451,1.1E+11,HILLSHIRE BRANDS - ZEELAND,ZEELAND,OTTAWA,MI,40500020302,Headwaters Pigeon River,2013,42.918611,-86.028611,Ammonia as N,152389,7664417,0.849166667,Major,,326.1093733,0.361981404,https://echo.epa.gov/detailed-facility-report?fid=MI0037451&sys=ICP
2018,ICIS,WI0023094,1.10017E+11,"HILLSHIRE BRANDS, NEW LONDON PLANT",NEW LONDON,OUTAGAMIE,WI,40302021404,Black Otter Lake-Wolf River,2011,44.372922,-88.734057,Oil and grease,,,0.546833333,Non-Major,,252.34,0,https://echo.epa.gov/detailed-facility-report?fid=WI0023094&sys=ICP
2018,ICIS,MI0037451,1.1E+11,HILLSHIRE BRANDS - ZEELAND,ZEELAND,OTTAWA,MI,40500020302,Headwaters Pigeon River,2013,42.918611,-86.028611,Copper,150086,7440508,0.849166667,Major,,12.95,8.06785,https://echo.epa.gov/detailed-facility-report?fid=MI0037451&sys=ICP
2018,ICIS,MI0037451,1.1E+11,HILLSHIRE BRANDS - ZEELAND,ZEELAND,OTTAWA,MI,40500020302,Headwaters Pigeon River,2013,42.918611,-86.028611,Oil and grease,,,0.849166667,Major,,0,0,https://echo.epa.gov/detailed-facility-report?fid=MI0037451&sys=ICP
2019,ICIS,MI0037451,1.1E+11,HILLSHIRE BRANDS - ZEELAND,ZEELAND,OTTAWA,MI,40500020302,Headwaters Pigeon River,2013,42.918611,-86.028611,"Solids, total dissolved",,,0.963333333,Major,,5348607.052,0,https://echo.epa.gov/detailed-facility-report?fid=MI0037451&sys=ICP
2019,ICIS,MI0037451,1.1E+11,HILLSHIRE BRANDS - ZEELAND,ZEELAND,OTTAWA,MI,40500020302,Headwaters Pigeon River,2013,42.918611,-86.028611,Chloride,205955,16887006,0.963333333,Major,,3055025.846,74.383238,https://echo.epa.gov/detailed-facility-report?fid=MI0037451&sys=ICP
2019,ICIS,WI0023094,1.10017E+11,"HILLSHIRE BRANDS, NEW LONDON PLANT",NEW LONDON,OUTAGAMIE,WI,40302021404,Black Otter Lake-Wolf River,2011,44.372922,-88.734057,Chloride,205955,16887006,0.607166667,Non-Major,,1915777.867,46.64502633,https://echo.epa.gov/detailed-facility-report?fid=WI0023094&sys=ICP
2019,ICIS,MI0037451,1.1E+11,HILLSHIRE BRANDS - ZEELAND,ZEELAND,OTTAWA,MI,40500020302,Headwaters Pigeon River,2013,42.918611,-86.028611,Sodium,149856,7440235,0.963333333,Major,,1810562.466,9.940342949,https://echo.epa.gov/detailed-facility-report?fid=MI0037451&sys=ICP
2019,ICIS,MI0037451,1.1E+11,HILLSHIRE BRANDS - ZEELAND,ZEELAND,OTTAWA,MI,40500020302,Headwaters Pigeon River,2013,42.918611,-86.028611,"Solids, total suspended",,,0.963333333,Major,,17787,0,https://echo.epa.gov/detailed-facility-report?fid=MI0037451&sys=ICP
2019,ICIS,MI0037451,1.1E+11,HILLSHIRE BRANDS - ZEELAND,ZEELAND,OTTAWA,MI,40500020302,Headwaters Pigeon River,2013,42.918611,-86.028611,Nitrogen,153122,7727379,0.963333333,Major,,17199,0,https://echo.epa.gov/detailed-facility-report?fid=MI0037451&sys=ICP
2019,ICIS,WI0023094,1.10017E+11,"HILLSHIRE BRANDS, NEW LONDON PLANT",NEW LONDON,OUTAGAMIE,WI,40302021404,Black Otter Lake-Wolf River,2011,44.372922,-88.734057,"Solids, total suspended",,,0.607166667,Non-Major,,14353.25,0,https://echo.epa.gov/detailed-facility-report?fid=WI0023094&sys=ICP
2019,ICIS,WI0023094,1.10017E+11,"HILLSHIRE BRANDS, NEW LONDON PLANT",NEW LONDON,OUTAGAMIE,WI,40302021404,Black Otter Lake-Wolf River,2011,44.372922,-88.734057,Nitrogen,153122,7727379,0.607166667,Non-Major,,12559.13818,0,https://echo.epa.gov/detailed-facility-report?fid=WI0023094&sys=ICP
2019,ICIS,MI0037451,1.1E+11,HILLSHIRE BRANDS - ZEELAND,ZEELAND,OTTAWA,MI,40500020302,Headwaters Pigeon River,2013,42.918611,-86.028611,Oil and grease,,,0.963333333,Major,,11076.5,0,https://echo.epa.gov/detailed-facility-report?fid=MI0037451&sys=ICP
2019,ICIS,WI0023094,1.10017E+11,"HILLSHIRE BRANDS, NEW LONDON PLANT",NEW LONDON,OUTAGAMIE,WI,40302021404,Black Otter Lake-Wolf River,2011,44.372922,-88.734057,"BOD, 5-day, 20 deg. C",,,0.607166667,Non-Major,,8629.2427,0,https://echo.epa.gov/detailed-facility-report?fid=WI0023094&sys=ICP
2019,ICIS,MI0037451,1.1E+11,HILLSHIRE BRANDS - ZEELAND,ZEELAND,OTTAWA,MI,40500020302,Headwaters Pigeon River,2013,42.918611,-86.028611,"BOD, carbonaceous, 05 day, 20 C",,,0.963333333,Major,,6453,0,https://echo.epa.gov/detailed-facility-report?fid=MI0037451&sys=ICP
2019,ICIS,MI0037451,1.1E+11,HILLSHIRE BRANDS - ZEELAND,ZEELAND,OTTAWA,MI,40500020302,Headwaters Pigeon River,2013,42.918611,-86.028611,Fluoride,206706,16984488,0.963333333,Major,,2140,64.2,https://echo.epa.gov/detailed-facility-report?fid=MI0037451&sys=ICP
2019,ICIS,WI0023094,1.10017E+11,"HILLSHIRE BRANDS, NEW LONDON PLANT",NEW LONDON,OUTAGAMIE,WI,40302021404,Black Otter Lake-Wolf River,2011,44.372922,-88.734057,Oil and grease,,,0.607166667,Non-Major,,778.32,0,https://echo.epa.gov/detailed-facility-report?fid=WI0023094&sys=ICP
