Water Pollution Search Results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search Criteria: Year = 2018; Facility Name Like TYSON; Pollutant category = Wastewater Flow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Source,NPDES Permit Number,FRS ID,Facility Name,City,County,State,Major/Non-Major Status,Facility Latitude,Facility Longitude,SIC Code,4-Digit SIC Code,SIC Description,HUC 12 Code,Watershed Name,Average Daily Flow (MGD),Total Annual Flow (MMGal),Links to TRI ID,Contains Potential Outliers?,Count of EJ Indexes At or Above 80th Percentile (US - Block Group),Count of EJ Indexes At or Above 80th Percentile (State - Block Group),Count of EJ Indexes At or Above 80th Percentile (US - 1-mile maximum),Count of EJ Indexes At or Above 80th Percentile (State - 1-mile maximum),Count of Supplemental Indexes At or Above 80th Percentile (US - Block Group),Count of Supplemental Indexes At or Above 80th Percentile (State - Block Group),Count of Supplemental Indexes At or Above 80th Percentile (US - 1-mile maximum),Count of Supplemental Indexes At or Above 80th Percentile (State - 1-mile maximum),Percent People of Color (3 mi),Percent Low Income (3 mi),FRS Tribal Land Code,ICIS Tribal Land Flag,Within Spatial Tribal Boundary,FRS Spatially Derived Tribe,Population Density,Link to DFR
ICIS,TN0081868,1.10046E+11,MCGEE-TYSON AIRPORT,ALCOA,BLOUNT,TN,Non-Major,35.810705,-83.99401,4581,4581,"AIRPORTS, FLYING FIELDS & SER",60102010205,Lackey Creek,13.49791667,61716.20727,,Y,0,0,3,6,1,1,8,10,17.07,40.6,N,N,N,,716.27,https://echo.epa.gov/detailed-facility-report?fid=TN0081868&sys=ICP
ICIS,NE0001392,1.1006E+11,TYSON FRESH MEATS WASTE TRTMNT,DAKOTA CITY,DAKOTA,NE,Major,41.42873,-96.41438,2011,2011,MEAT PACKING PLANTS,1.023E+11,Bacon Creek-Missouri River,2.541041667,1854.983,,,1,5,1,8,1,3,1,4,55.17,33.74,N,N,N,"Winnebago Tribe of Nebraska - 11 mile(s), Omaha Tribe of Nebraska - 17 mile(s)",429.99,https://echo.epa.gov/detailed-facility-report?fid=NE0001392&sys=ICP
ICIS,VA0004031,1.1E+11,"TYSON FARMS, INC., GLEN ALLEN, VA.",GLEN ALLEN,HANOVER,VA,Non-Major,37.697547,-77.552789,2015,2015,POULTRY SLAUGHTERING & PROCESS,20802060401,Grassy Swamp Creek-Chickahominy River,0.783972222,1073.92,,,0,0,0,0,0,0,0,1,33.9,8.62,N,N,N,Upper Mattaponi Tribe - 25 mile(s),880.17,https://echo.epa.gov/detailed-facility-report?fid=VA0004031&sys=ICP
ICIS,MO0115061,1.10029E+11,"TYSON POULTRY, INC. SEDALIA, MO, PROCESSING PLANT",SEDALIA,PETTIS,MO,Major,38.7547236,-93.316112,2015,2015,POULTRY SLAUGHTERING & PROCESS,1.03001E+11,Coon Creek-Muddy Creek,0.370527619,946.90104,,Y,0,0,0,0,0,0,0,0,6.64,27.04,N,N,N,,22.83,https://echo.epa.gov/detailed-facility-report?fid=MO0115061&sys=ICP
ICIS,IL0003913,1.10018E+11,TYSON FRESH MEATS INC - JOSLIN IL,HILLSDALE,ROCK ISLAND,IL,Major,41.545556,-90.233611,2011,2011,MEAT PACKING PLANTS,70900051103,Zuma Creek,2.5093,928.772328,,,0,0,0,0,1,0,1,0,7.03,14.03,N,N,N,,57.49,https://echo.epa.gov/detailed-facility-report?fid=IL0003913&sys=ICP
ICIS,MO0002500,1.1E+11,"TYSON CHICKEN INC NOEL, MO.",NOEL,MCDONALD,MO,Non-Major,36.5578034,-94.495939,2015,2015,POULTRY SLAUGHTERING & PROCESS,1.10702E+11,Yarnell Branch-Elk River,1.183625,856.615,,,3,5,3,5,4,5,4,5,56.05,62.86,N,N,N,,106.36,https://echo.epa.gov/detailed-facility-report?fid=MO0002500&sys=ICP
ICIS,NE0123501,1.10001E+11,TYSON FRESH MEATS INC,LEXINGTON,DAWSON,NE,Major,40.752433,-99.71115,2011,2011,MEAT PACKING PLANTS,1.02001E+11,Lower Spring Creek,1.145416667,836.46,,,7,10,7,10,9,10,9,10,77.82,40.44,N,N,N,,403.84,https://echo.epa.gov/detailed-facility-report?fid=NE0123501&sys=ICP
ICIS,MS0026140,1.10002E+11,"TYSON FOODS INC, CARTHAGE PROCESSING PLANT",CARTHAGE,LEAKE,MS,Non-Major,32.823278,-89.534944,2015,2015,POULTRY SLAUGHTERING & PROCESS,31800010707,Cobbs Creek,2.22125,810.355,,,1,0,5,3,4,1,5,1,64.47,57.77,N,N,N,,35.09,https://echo.epa.gov/detailed-facility-report?fid=MS0026140&sys=ICP
ICIS,TX0072982,1.1E+11,TYSON FARMS,CENTER,SHELBY,TX,Major,31.793055,-94.168055,2015,2015,POULTRY SLAUGHTERING & PROCESS,1.201E+11,Huana Creek,0.915666667,667.568,,,4,2,6,6,6,3,6,6,59.92,47.85,N,N,N,,242.85,https://echo.epa.gov/detailed-facility-report?fid=TX0072982&sys=ICP
ICIS,AL0001449,1.1E+11,TYSON FOODS INC BLOUNTSVILLE PROCESSING PLANT,BLOUNTSVILLE,BLOUNT,AL,Major,34.0566912,-86.584138,2015,2015,POULTRY SLAUGHTERING & PROCESS,31601110202,Graves Creek,0.433435417,633.6384,,,0,0,0,0,0,0,1,0,25.83,31.02,N,N,N,,105.31,https://echo.epa.gov/detailed-facility-report?fid=AL0001449&sys=ICP
